City of Sunnyvale,,,,
Report Number,Date,Violation Code,race,Sex
E236002,1/13/2020,22450A,Asian Indian,M
E236003,1/13/2020,22450A,White,M
E236004,1/13/2020,22450A,Other,M
E236005,1/13/2020,22450A,Hispanic,M
E236006,1/13/2020,21950A,Hispanic,F
E236007,1/13/2020,21209A,Hispanic,F
T510887,1/13/2020,4000A1,Other,Male
E230139,1/14/2020,146011A 16028A 5200A 4000A1,,F
E231028,1/14/2020,22107 13007,Hispanic,M
E231029,1/14/2020,27001A 22107,Asian Indian,M
E233004,1/14/2020,22450A,Other Asian,F
E233005,1/14/2020,16028A,Hispanic,M
E233007,1/14/2020,23123A,Other,M
E233008,1/14/2020,21453B,Other Asian,F
E233009,1/14/2020,16028A,Black,M
E234452,1/14/2020,4000A1,White,M
E234453,1/14/2020,12500A 21453A,Asian Indian,M
E235998,1/14/2020,21453A,,M
E235999,1/14/2020,22450A,,M
E236000,1/14/2020,231235A,,M
E236401,1/14/2020,231235A,,M
E236402,1/14/2020,22450A,,F
E236403,1/14/2020,22450A,,M
E236404,1/14/2020,22450A,,F
E236405,1/14/2020,22450A,,M
E236406,1/14/2020,22450A,,F
E236407,1/14/2020,22450A,,F
T510888,1/14/2020,4000A1 16028A,White,Female
T511028,1/14/2020,16028A,Hispanic,Female
E233731,1/15/2020,12500A,Hispanic,M
E236408,1/15/2020,22450A,Other Asian,F
E236409,1/15/2020,22450A,Hispanic,F
E236410,1/15/2020,22450A,Other Asian,M
E236411,1/15/2020,22450A,White,F
E236412,1/15/2020,5200A,Other Asian,F
E236413,1/15/2020,22450A,Other Asian,F
E236414,1/15/2020,22450A,Other Asian,M
E236415,1/15/2020,22450A,White,M
T509172,1/15/2020,12500A 16028A 4000A1,Hispanic,Male
T509657,1/15/2020,22350 22107 21650,White,Male
E231030,1/16/2020,4000A1,White,M
E233399,1/16/2020,21755A,,M
E236008,1/16/2020,22450A,,M
E236009,1/16/2020,22450A,,M
E236010,1/16/2020,22450A,,F
E236011,1/16/2020,22450A,,M
E236012,1/16/2020,22350 12500A 16028A,,M
E236013,1/16/2020,22450A,,F
E236416,1/16/2020,21460A,Unknown,F
T510200,1/16/2020,24603E,Asian Indian,Male
E224242,1/17/2020,267085A,Unknown,M
E230140,1/17/2020,22107,,M
E231573,1/17/2020,22350,Unknown,M
E231575,1/17/2020,22450A,Unknown,M
E231576,1/17/2020,22450A,Unknown,F
E231577,1/17/2020,22450A,Unknown,F
E231578,1/17/2020,22350,Hispanic,F
E231579,1/17/2020,231235A,Unknown,F
E231580,1/17/2020,10.08.160,Unknown,M
E231581,1/17/2020,21950A,Unknown,F
E231582,1/17/2020,231235A,Unknown,M
E233400,1/17/2020,22103 12500A,Hispanic,M
E234454,1/17/2020,12500A,Other,F
E236301,1/17/2020,22103,Hispanic,F
E236302,1/17/2020,225001,White,F
E236303,1/17/2020,21211A,White,M
E236304,1/17/2020,21211A,Hispanic,F
E236305,1/17/2020,22349A 12500A,White,M
E236306,1/17/2020,22349A,Asian Indian,M
E236307,1/17/2020,22349A,White,M
E236308,1/17/2020,22349A,Other Asian,M
E236309,1/17/2020,22349A,Other Asian,F
E236310,1/17/2020,4000A1,Other,F
E236311,1/17/2020,22103,Hispanic,M
T507455,1/17/2020,12500A,Hispanic,Male
T509807,1/17/2020,5200A 16028A,White,Male
T511011,1/17/2020,5204A,Hispanic,Female
E230141,1/18/2020,12500A,Hispanic,M
E230142,1/18/2020,22107,,F
E232120,1/18/2020,24603A,American Indian,M
E234455,1/18/2020,12500A 21753,Hispanic,M
E234456,1/18/2020,5200A,Other,F
T509458,1/18/2020,4463A 12500A 24252A,Black,Male
T509709,1/18/2020,5200A 4000A1,Hispanic,Male
T511012,1/18/2020,21453A,Other Asian,Female
E230143,1/19/2020,22350,,F
E230663,1/19/2020,4000A1,White,M
E230664,1/19/2020,22450A,Black,F
E234623,1/19/2020,21800A,Unknown,F
E235131,1/19/2020,231235A,Unknown,M
T509174,1/19/2020,4000A1,White,Female
T511013,1/19/2020,4000A1,White,Male
E234457,1/20/2020,12500A 21800A 24603E 267085A,Hispanic,M
E234458,1/20/2020,27315D1 23111,Hispanic,M
E234624,1/20/2020,21950A,Unknown,F
E236014,1/20/2020,21453A,Unknown,F
E236015,1/20/2020,24603D,Unknown,M
E236417,1/20/2020,22101D,White,M
E236418,1/20/2020,22101D,White,M
E236419,1/20/2020,22101D,Other Asian,M
E236420,1/20/2020,22400A,Other Asian,M
E236421,1/20/2020,231235A,Other,M
E236422,1/20/2020,22450A,Other Asian,F
E233732,1/21/2020,146015A 16028A,White,M
E233733,1/21/2020,21453A,Other Asian,M
E236017,1/21/2020,22450A,White,F
E236019,1/21/2020,22450A,White,F
E236020,1/21/2020,22450A,White,F
E236021,1/21/2020,22450A,Other Asian,M
E236022,1/21/2020,22450A,White,F
E236023,1/21/2020,22450A,Other Asian,M
E236024,1/21/2020,22450A,Other Asian,M
E236025,1/21/2020,22450A,White,M
E236026,1/21/2020,22450A,White,M
E236027,1/21/2020,22450A,Asian Indian,F
E236028,1/21/2020,22450A,White,F
E236029,1/21/2020,5200A,Asian Indian,M
E236030,1/21/2020,22450A,White,M
E236423,1/21/2020,231235A,Other Asian,F
E236424,1/21/2020,21453A,Hispanic,F
E236425,1/21/2020,21453A,Asian Indian,F
E236426,1/21/2020,21453A,Black,M
E236427,1/21/2020,231235A,White,M
E236428,1/21/2020,21453A,White,M
E236429,1/21/2020,24603B,White,F
T508376,1/21/2020,12500A,White,Male
T510363,1/21/2020,4000A1,Other Asian,Male
E229987,1/22/2020,21460A 27360A,,F
E230467,1/22/2020,10.08.220,Other Asian,M
E233010,1/22/2020,4000A1,,M
E233734,1/22/2020,23123A 12500A,Other Asian,M
E234211,1/22/2020,21950A,,M
E234212,1/22/2020,21453A,Other Asian,F
E234213,1/22/2020,21950A,,F
E234214,1/22/2020,21453A 22107,White,M
E234215,1/22/2020,23123A,,M
E234216,1/22/2020,22450A,Hispanic,M
E234217,1/22/2020,22450A,,M
E234218,1/22/2020,22450A 21651B,,M
E234459,1/22/2020,146012A,,M
E234461,1/22/2020,4000A1,,M
E234625,1/22/2020,21460A,,F
E234626,1/22/2020,21460A,,M
E234627,1/22/2020,21950A,,M
E234628,1/22/2020,21453A,,M
E234629,1/22/2020,5200A,,M
E234630,1/22/2020,231235A,,F
E234631,1/22/2020,231235A,,F
E234632,1/22/2020,21955,Other,M
E234633,1/22/2020,21209A,,M
E234634,1/22/2020,22500D,,M
E234635,1/22/2020,21209A,,F
T506938,1/22/2020,12500A 24603E,Hispanic,Male
E233735,1/23/2020,21461A,,F
E235417,1/23/2020,27151A,Hispanic,M
E236031,1/23/2020,231235A,Asian Indian,M
E236032,1/23/2020,231235A,White,M
E236033,1/23/2020,231235A,White,M
E236034,1/23/2020,231235A,White,M
E236035,1/23/2020,231235A,Other,M
E236036,1/23/2020,231235A,Other,M
E236037,1/23/2020,231235A,Other,M
E236038,1/23/2020,231235A,White,F
E236039,1/23/2020,231235A,Asian Indian,F
E236312,1/23/2020,21461A,Other Asian,M
E236313,1/23/2020,21457A,Asian Indian,M
E236430,1/23/2020,22450A,,F
E236431,1/23/2020,23123A,,M
E236432,1/23/2020,22450A 22350 12951A,Other Asian,F
E236433,1/23/2020,22450A,,M
E236434,1/23/2020,22450A,,F
E236435,1/23/2020,21453B,,F
E236436,1/23/2020,22450A,,F
E236437,1/23/2020,12951A,Other,M
E236438,1/23/2020,22450A,Other,M
E236439,1/23/2020,22450A,,M
E236440,1/23/2020,22450A,,M
E224759,1/24/2020,21461A,,M
E230144,1/24/2020,21453A 12500A 16028A,Hispanic,M
E230665,1/24/2020,21453A 12500A,Hispanic,M
E231032,1/24/2020,10.08.220,Other Asian,M
E231118,1/24/2020,231235A,Other Asian,F
E232121,1/24/2020,4000A1,Unknown,M
E233736,1/24/2020,22103,Other,M
E233737,1/24/2020,22103,Asian Indian,M
E233738,1/24/2020,22103,Other Asian,M
E233739,1/24/2020,22103 12500A,Hispanic,M
E235418,1/24/2020,21460A,,M
E235419,1/24/2020,21955,Hispanic,M
E235420,1/24/2020,21453A 12500A,Hispanic,M
E235421,1/24/2020,21453A,,M
E235422,1/24/2020,231235A,,M
E235423,1/24/2020,22450A,,F
E235424,1/24/2020,22450A,,F
E235425,1/24/2020,231235A,,M
E235426,1/24/2020,22500D,,M
E235427,1/24/2020,22500D,,F
E236040,1/24/2020,38300,,M
E236041,1/24/2020,21453A,,F
E236043,1/24/2020,21453A,,F
E236044,1/24/2020,231235A,,F
E236045,1/24/2020,22450A,,M
E236046,1/24/2020,38300,Other Asian,F
E236047,1/24/2020,38300,,M
E236049,1/24/2020,231235A,,M
E236050,1/24/2020,38300,,F
E236051,1/24/2020,21453A,,M
E236441,1/24/2020,4000A1 16028A 21453A,,M
E236442,1/24/2020,21453A,,F
E236443,1/24/2020,22450A 4000A1 16028A,,M
E236444,1/24/2020,22450A,,F
E236445,1/24/2020,22450A,,F
E236447,1/24/2020,22450A,,F
